iter	Passed	Remaining
1534	11421	3459
1535	11428	3452
1536	11437	3445
1537	11446	3438
1538	11454	3431
1539	11462	3423
1540	11470	3416
1541	11478	3409
1542	11486	3401
1543	11493	3394
1544	11501	3387
1545	11509	3379
1546	11518	3372
1547	11525	3365
1548	11533	3358
1549	11542	3350
1550	11550	3343
1551	11557	3336
1552	11566	3329
1553	11573	3321
1554	11582	3314
1555	11590	3307
1556	11599	3300
1557	11607	3292
1558	11615	3285
1559	11623	3278
1560	11632	3271
1561	11639	3263
1562	11648	3256
1563	11655	3249
1564	11663	3241
1565	11671	3234
1566	11679	3227
1567	11686	3219
1568	11695	3212
1569	11702	3205
1570	11711	3198
1571	11719	3190
1572	11727	3183
1573	11736	3176
1574	11744	3169
1575	11752	3161
1576	11761	3154
1577	11769	3147
1578	11777	3140
1579	11785	3132
1580	11793	3125
1581	11800	3117
1582	11808	3110
1583	11816	3103
1584	11824	3096
1585	11832	3088
1586	11840	3081
1587	11848	3074
1588	11856	3066
1589	11864	3059
1590	11871	3051
1591	11879	3044
1592	11888	3037
1593	11896	3029
1594	11904	3022
1595	11911	3015
1596	11919	3007
1597	11927	3000
1598	11934	2993
1599	11945	2986
1600	11955	2979
1601	11965	2972
1602	11975	2965
1603	11984	2958
1604	11993	2951
1605	12002	2944
1606	12012	2937
1607	12022	2930
1608	12030	2923
1609	12039	2916
1610	12047	2909
1611	12056	2902
1612	12064	2894
1613	12073	2887
1614	12081	2880
1615	12089	2872
1616	12097	2865
1617	12105	2858
1618	12113	2850
1619	12122	2843
1620	12130	2836
1621	12138	2828
1622	12146	2821
1623	12156	2814
1624	12164	2807
1625	12172	2799
1626	12180	2792
1627	12189	2785
1628	12197	2777
1629	12206	2770
1630	12216	2763
1631	12224	2756
1632	12233	2749
1633	12242	2742
1634	12251	2735
1635	12260	2727
1636	12270	2720
1637	12279	2713
1638	12287	2706
1639	12296	2699
1640	12305	2692
1641	12314	2684
1642	12322	2677
1643	12332	2670
1644	12340	2663
1645	12349	2655
1646	12358	2648
1647	12369	2642
1648	12379	2635
1649	12387	2627
1650	12397	2620
1651	12405	2613
1652	12416	2606
1653	12425	2599
1654	12434	2591
1655	12442	2584
1656	12451	2577
1657	12460	2570
1658	12469	2562
1659	12478	2555
1660	12487	2548
1661	12497	2541
1662	12505	2534
1663	12515	2527
1664	12525	2520
1665	12533	2512
1666	12543	2505
1667	12552	2498
1668	12561	2491
1669	12571	2484
1670	12581	2477
1671	12590	2469
1672	12599	2462
1673	12607	2455
1674	12615	2447
